subject,date,group,culture,age,sex,season1_copies,s1_copybest,season2_copies,s2_copybest,season3_copies,s3_copybest,total_copies,copy_frequency_s1,copy_frequency_s2,copy_frequency_s3,copy_frequency_all,score_season1,score_season2,score_season3,score_s1_s2_averaged,rank_season1,rank_season2,rank_season3,rank_s1_s2_averaged,collectivist_average,individualist_average,horizontal_average,vertical_average,collectivist_reversed,individualist_reversed,horizontal_reversed,vertical_reversed,culture_numeric,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,s1_copybest_propofcopies,s1_copybest_propof29,s2_copybest_propofcopies,s3_copybest_propofcopies,s2_copybest_propof29,s3_copybest_propof29,s1s2_score,s1s2_copies,best_dem_S1S2,best_dem_S1,best_dem_S2,best_dem_S3,s1s2_score_weighted,s1_score_weighted,s2_score_weighted,s3_score_weighted
1,2B001  ,040213,SL       ,UK,21,Female,9,7,2,2,8,8,19,0.310344827586207,0.0689655172413793,0.275862068965517,0.218390804597701,23086,23638,20295,23362,3,2,3,2.5,3.125,1.833333333,2.142857143,3,3.875,5.166666667,4.857142857,4,British,3,5,3,2,2,2,1,1,3,1,2,2,7,2,0.777777777777778,0.241379310344828,1,1,0.0689655172413793,0.275862068965517,23362,5.5,24432,24974,25381,21214,0.95620497707924,0.92440137743253,0.931326582876955,0.956679551239747
2,2B002  ,040213,SL       ,UK,18,Female,1,1,1,0,0,0,2,0.0344827586206897,0.0344827586206897,0,0.0229885057471264,24093.5,21580.4,18204.6,22837,2,4,4,3,1.375,5.333333333,2.428571429,3.714285714,5.625,1.666666667,4.571428571,3.285714286,British,1,2,2,1,7,1,5,1,5,6,1,3,2,6,1,0.0344827586206897,0,NA,0,0,22836.95,1,24432,24974,25381,21214,0.934714718402096,0.964743333066389,0.850258067058036,0.858140850381823
3,2B003  ,040213,SL       ,UK,18,Female,29,27,7,6,12,8,48,1,0.241379310344828,0.413793103448276,0.551724137931034,24139.2,24427,20604.3,24283,2,2,3,2,3.25,4.166666667,3.857142857,3.428571429,3.75,2.833333333,3.142857143,3.571428571,British,3,2,5,1,1,2,5,1,5,2,6,5,6,7,0.931034482758621,0.931034482758621,0.857142857142857,0.666666666666667,0.206896551724138,0.275862068965517,24283.1,18,24432,24974,25381,21214,0.993905533726261,0.966573236165612,0.962412828493755,0.971259545583105
4,2B004  ,040213,SL       ,UK,19,Female,17,4,24,16,26,12,67,0.586206896551724,0.827586206896552,0.896551724137931,0.770114942528736,20142.8,22964.2,20247.5,21553.5,5,2,3,3.5,3.375,3.833333333,3,4.142857143,3.625,3.166666667,4,2.857142857,British,3,6,6,1,1,2,6,1,3,4,3,3,5,6,0.235294117647059,0.137931034482759,0.666666666666667,0.461538461538462,0.551724137931034,0.413793103448276,21553.5,20.5,24432,24974,25381,21214,0.882183202357564,0.806550812845359,0.904779165517513,0.954440463844631
5,2B005  ,040213,SL       ,UK,20,Female,8,4,5,3,6,6,19,0.275862068965517,0.172413793103448,0.206896551724138,0.218390804597701,22313.1,23095.1,19242.7,22704,4,2,3,3,3,2.166666667,2,3.285714286,4,4.833333333,5,3.714285714,British,2,5,5,2,2,2,3,2,2,2,2,1,4,3,0.5,0.137931034482759,0.6,1,0.103448275862069,0.206896551724138,22704.1,6.5,24432,24974,25381,21214,0.929277177472168,0.893453191318972,0.909936566723139,0.907075516168568
6,2B006  ,040213,SL       ,UK,18,Female,9,8,7,5,11,9,27,0.310344827586207,0.241379310344828,0.379310344827586,0.310344827586207,24485.5,24060,19666.6,24273,2,2,3,2,3.75,3,2.857142857,4,3.25,4,4.142857143,3,British,4,5,3,3,3,3,2,3,2,5,4,2,5,4,0.888888888888889,0.275862068965517,0.714285714285714,0.818181818181818,0.172413793103448,0.310344827586207,24272.75,8,24432,24974,25381,21214,0.99348190897184,0.980439657243533,0.947953193333596,0.927057603469407
7,2B007  ,050213,SL       ,UK,18,Female,3,3,26,24,21,19,50,0.103448275862069,0.896551724137931,0.724137931034483,0.574712643678161,24851.6,24993.3,21315,24922.5,2,2,1,2,3.25,2.333333333,1.714285714,4,3.75,4.666666667,5.285714286,3,British,1,5,3,2,5,2,1,4,2,1,3,1,6,4,1,0.103448275862069,0.923076923076923,0.904761904761905,0.827586206896552,0.655172413793103,24922.45,14.5,24432,24974,25381,21214,1.02007408316961,0.995098902858973,0.984724794137347,1.00476100688225
8,2B008  ,050213,SL       ,UK,18,Female,1,1,0,0,1,1,2,0.0344827586206897,0,0.0344827586206897,0.0229885057471264,20476.2,22380.7,20232,21428.5,5,2,3,3.5,2.375,3.333333333,2.285714286,3.285714286,4.625,3.666666667,4.714285714,3.714285714,British,2,3,3,2,4,2,3,1,3,4,1,3,5,3,1,0.0344827586206897,NA,1,0,0.0344827586206897,21428.45,0.5,24432,24974,25381,21214,0.87706491486575,0.819900696724594,0.881789527599385,0.953709814273593
9,2B009  ,050213,SL       ,UK,20,Female,8,7,6,6,9,7,23,0.275862068965517,0.206896551724138,0.310344827586207,0.264367816091954,23828.2,24926,20730.8,24377,2,2,3,2,3.375,3.333333333,2.857142857,3.857142857,3.625,3.666666667,4.142857143,3.142857143,British,3,5,2,2,4,2,3,4,3,2,4,3,5,5,0.875,0.241379310344828,1,0.777777777777778,0.206896551724138,0.241379310344828,24377.1,7,24432,24974,25381,21214,0.997752946954813,0.9541202850965,0.98207320436547,0.977222588856416
10,2B010  ,050213,SL       ,UK,20,Female,1,1,0,0,14,12,15,0.0344827586206897,0,0.482758620689655,0.172413793103448,19424.6,21472.5,18294.1,20449,5,4,4,4.5,3.625,2,2.285714286,3.571428571,3.375,5,4.714285714,3.428571429,British,3,6,5,3,3,2,2,2,2,1,2,2,6,2,1,0.0344827586206897,NA,0.857142857142857,0,0.413793103448276,20448.55,0.5,24432,24974,25381,21214,0.836957678454486,0.777792904620806,0.846006855521847,0.862359762421043
11,2B011  ,050213,SL       ,UK,19,Female,6,5,4,4,11,10,21,0.206896551724138,0.137931034482759,0.379310344827586,0.241379310344828,23789,24031.8,19091,23910.5,2,2,3,2,1.375,4.833333333,3.571428571,2.142857143,5.625,2.166666667,3.428571429,4.857142857,British,2,1,2,2,6,1,6,1,6,2,1,7,1,2,0.833333333333333,0.172413793103448,1,0.909090909090909,0.137931034482759,0.344827586206897,23910.4,5,24432,24974,25381,21214,0.978650949574329,0.952550652678786,0.946842125999764,0.899924578108796
12,2B012  ,050213,SL       ,UK,20,Female,6,6,6,6,4,3,16,0.206896551724138,0.206896551724138,0.137931034482759,0.183908045977011,24504.8,24233.8,21818.3,24369.5,2,2,1,2,2,3,2.285714286,2.571428571,5,4,4.714285714,4.428571429,British,2,2,2,1,3,2,3,1,2,3,3,3,3,4,1,0.206896551724138,1,0.75,0.206896551724138,0.103448275862069,24369.3,6,24432,24974,25381,21214,0.997433693516699,0.981212460959398,0.954800835270478,1.02848590553408
13,2B013  ,050213,SL       ,UK,20,Female,2,1,2,1,9,4,13,0.0689655172413793,0.0689655172413793,0.310344827586207,0.149425287356322,17247.9,21213.4,18831.4,19230.5,5,4,4,4.5,4,2.833333333,2.857142857,4.142857143,3,4.166666667,4.142857143,2.857142857,British,3,7,2,1,5,2,5,5,2,1,5,2,7,2,0.5,0.0344827586206897,0.5,0.444444444444444,0.0344827586206897,0.137931034482759,19230.65,2,24432,24974,25381,21214,0.78710911918795,0.690634259630015,0.835798431897876,0.88768737626096
14,2B014  ,050213,SL       ,UK,23,Female,17,17,29,29,29,23,75,0.586206896551724,1,1,0.862068965517241,23258,25119.2,21768.7,24188.5,3,2,1,2.5,3.625,4,2.428571429,5.142857143,3.375,3,4.571428571,1.857142857,British,3,6,5,2,6,2,2,3,2,6,3,3,5,5,1,0.586206896551724,1,0.793103448275862,1,0.793103448275862,24188.6,23,24432,24974,25381,21214,0.990037655533726,0.931288540081685,0.989685197588748,1.02614782690676
15,2B015  ,050213,SL       ,UK,22,Female,2,0,1,0,0,0,3,0.0689655172413793,0.0344827586206897,0,0.0344827586206897,21224,17527,15120.5,19375.5,5,5,6,5,2.75,2.833333333,2,3.571428571,4.25,4.166666667,5,3.428571429,British,4,3,1,2,3,1,1,2,3,2,2,1,7,7,0,0,0,NA,0,0,19375.5,1.5,24432,24974,25381,21214,0.793037819253438,0.849843837591095,0.690555927662425,0.712760441218064
16,2B016  ,050213,SL       ,UK,19,Female,5,5,4,4,8,8,17,0.172413793103448,0.137931034482759,0.275862068965517,0.195402298850575,25338.2,23359.6,21121.8,24349,1,2,2,1.5,2.25,3.166666667,1.714285714,3.571428571,4.75,3.833333333,5.285714286,3.428571429,British,3,3,2,2,4,1,2,3,2,4,1,1,3,6,1,0.172413793103448,1,1,0.137931034482759,0.275862068965517,24348.9,4.5,24432,24974,25381,21214,0.996598722986248,1.01458316649315,0.920357747921674,0.995653813519374
17,2B017  ,050213,SL       ,UK,18,Female,6,1,24,12,24,17,54,0.206896551724138,0.827586206896552,0.827586206896552,0.620689655172414,19168,22853.3,20037.7,21010.5,5,2,3,3.5,3.75,2.666666667,2.571428571,4,3.25,4.333333333,4.428571429,3,British,3,6,3,1,2,2,2,3,4,5,5,1,7,2,0.166666666666667,0.0344827586206897,0.5,0.708333333333333,0.413793103448276,0.586206896551724,21010.65,15,24432,24974,25381,21214,0.859964390962672,0.767518218947706,0.900409755328789,0.944550768360517
18,2B018  ,060213,SL       ,UK,18,Female,1,1,0,0,0,0,1,0.0344827586206897,0,0,0.0114942528735632,21027.6,23580,17208.7,22304,5,2,5,3.5,3.125,2.833333333,1.714285714,4.285714286,3.875,4.166666667,5.285714286,2.714285714,British,2,5,2,2,7,3,1,2,1,2,2,1,7,5,1,0.0344827586206897,NA,NA,0,0,22303.8,0.5,24432,24974,25381,21214,0.912892927308448,0.841979658845199,0.929041408927938,0.811195436975582
